Проблема;Наименование мероприятий;Митигационный эффект;Адаптационный эффект;Наименование района;Агроклиматические условия района;Ответственная организация;Источник;;;;;;;;;;;;;;;;;;
деградация водотока, наводнения и снижение биоразнообразия;Ревитализация реки Наарн (Австрия): расширение и меандрирование русла, создание заводей и посадка деревьев для улучшения экологического состояния, снижения паводковой угрозы и создания зон охлаждения в жаркие дни;Улучшение углеродного поглощения речной экосистемой;Снижение паводковой опасности, улучшение микроклимата, создание мест отдыха, повышение биоразнообразия;Наарн (Верхняя Австрия, Австрия);"Среднегодовая температура — около 9,0 °C. Сезонные средние: зима ? –2 °C, весна ? 9 °C, лето ? 19 °C, осень ? 10 °C. Безморозный период — около 160–175 дней. Годовое количество осадков ? 700 мм, равномерно распределено. Средняя влажность — 75–80 %. Возможны как засухи, так и продолжительные дожди. Экстремальные явления: ливни, сильные ветры. Почвы — аллювиальные, хорошо дренированные в русле, тяжёлые глины в пойме. Высота над уровнем моря — около 300 м. Климат — умеренный, переходный к континентальному. Река Наарн впадает в Дунай; риск затопления умеренный в пойме.";Муниципалитеты региона Махланд, при поддержке ЕС;https://www.adapterraawards.cz/en/databaze/2021/ein-neues-kleid-fur-die-naarn-;;;;;;;;;;;;;;;;;;
наводнения, угроза исчезновения охраняемого вида и нехватка зелёных зон;Парк у Раковачека в Рокицанах: восстановление Раковского ручья с созданием широкого составного русла и прудов для защиты от наводнений, сохранения популяции каменного рака и формирования зоны отдыха;Снижение выбросов за счёт восстановления природной растительности;Естественная защита от наводнений, создание тенистого парка для отдыха в жару, поддержка биоразнообразия;Рокицаны (Центральночешский край, Чехия);"Среднегодовая температура — около 8,5 °C. Сезонные средние: зима ? –3 °C, весна ? 9 °C, лето ? 19 °C, осень ? 9 °C. Безморозный период — около 155–170 дней. Годовое количество осадков ? 550 мм, максимум летом. Средняя влажность — 70–75 %. Возможны засухи и кратковременные ливни. Экстремальные явления: волны жары, град. Почвы — суглинистые, умеренно дренированные. Высота над уровнем моря — около 350 м. Климат — умеренно континентальный. Рядом — ручей Раковский; умеренный риск подтопления.";Город Рокицаны, при поддержке ОП «Окружающая среда»;https://www.adapterraawards.cz/en/databaze/2020/park-u-rakovacku-v-rokycanech;;;;;;;;;;;;;;;;;;
склоновые наводнения и эрозия почвы;Защита от склоновых вод в Швертберге (Австрия): строительство 10 водосборных бассейнов и открытых канав с участием фермеров для удержания 53 000 м? воды и защиты населённых территорий от оползней и затоплений;Снижение эрозии и сохранение почвенного углерода;Комплексная защита от паводков со склонов, создание цветущих лугов и мест отдыха, адаптация к экстремальным осадкам;Швертберг (Верхняя Австрия, Австрия);"Среднегодовая температура — около 9,0 °C. Сезонные средние: зима ? –2 °C, весна ? 9 °C, лето ? 19 °C, осень ? 10 °C. Безморозный период — около 160–175 дней. Годовое количество осадков ? 700 мм, равномерно распределено. Средняя влажность — 75–80 %. Возможны как засухи, так и продолжительные дожди. Экстремальные явления: ливни, сильные ветры. Почвы — тонкий гумусовый слой на гранитном основании, часто глинистые и маловодопроницаемые. Высота над уровнем моря — около 320 м. Климат — умеренный, переходный к континентальному. Рядом — реки Айст и Понеггенбах; высокий риск склоновых паводков.";Муниципалитет Швертберг, при поддержке Верхней Австрии, ЕС;https://www.adapterraawards.cz/en/databaze/2021/hangwasserschutz-in-schwertberg;;;;;;;;;;;;;;;;;;
засуха, ливневые паводки и высокое энергопотребление;Реконструкция школы на Чешскобродской в Праге: создание энерго- и углеродно-положительного здания с био-солнечной крышей, геотермальными насосами и переработкой серой воды для обеспечения устойчивости к засухе и ливням;Производство избыточной возобновляемой энергии, снижение потребления питьевой воды на 19%;Устойчивость к засухе и ливням, защита от перегрева, создание комфортного микроклимата в классах;Прага (Чехия);"Среднегодовая температура — около 9,5 °C. Сезонные средние: зима ? –2 °C, весна ? 10 °C, лето ? 20 °C, осень ? 10 °C. Безморозный период — около 165–185 дней. Годовое количество осадков ? 520 мм, максимум летом. Средняя влажность — 70–75 %. Участились периоды засух и экстремальной жары. Возможны ливневые дожди. Почвы — суглинистые, умеренно дренированные. Высота над уровнем моря — около 190 м. Климат — умеренно континентальный. Рядом протекает река Влтава и ручей Мала Рокитка; возможны локальные подтопления при паводках.";Муниципалитет Праги, Чешский технический университет, генподрядчик;https://www.adapterraawards.cz/en/databaze/2022/revitalizace-skoly-ceskobrodska-praha;;;;;;;;;;;;;;;;;;
аномальная жара, засуха и высокое энергопотребление;Павильон тропических сельскохозяйственных наук в Праге: строительство здания с геотермальными сваями, зелёной крышей, сбором дождевой воды и солнцезащитными козырьками для снижения энергопотребления и обеспечения комфортного микроклимата;Снижение энергопотребления за счёт геотермальных насосов и солнечной энергии (~10% автономии), снижение водопотребления;Устойчивость к засухе и аномальной жаре, улучшение микроклимата внутри и снаружи здания, поддержка биоразнообразия;Прага (Чехия);"Среднегодовая температура — около 9,5 °C. Сезонные средние: зима ? –2 °C, весна ? 10 °C, лето ? 20 °C, осень ? 10 °C. Безморозный период — около 165–185 дней. Годовое количество осадков ? 520 мм, максимум летом. Средняя влажность — 70–75 %. Участились периоды засух и экстремальной жары. Возможны ливневые дожди. Почвы — суглинистые, умеренно дренированные. Высота над уровнем моря — около 190 м. Климат — умеренно континентальный. Рядом протекает река Влтава; возможны локальные подтопления при паводках.";Чешский сельскохозяйственный университет в Праге, при поддержке ОП «Исследования, развитие и образование»;https://www.adapterraawards.cz/en/databaze/2021/pavilon-tropickeho-zemedelstvi;;;;;;;;;;;;;;;;;;
городской остров тепла, ветровая эрозия и монокультурное землепользование;Сельскохозяйственные «Плужины» в Дольни-Почернице: разделение поля на полосы фруктовыми деревьями и переход на органическое земледелие для снижения испарения, повышения влагоудержания и смягчения эффекта теплового острова;Снижение эрозии, повышение углеродного поглощения почвой и растительностью;Снижение эффекта городского теплового острова, уменьшение испарения, повышение влагоудерживающей способности ландшафта, поддержка биоразнообразия;Прага – Дольни-Почернице (Чехия);"Среднегодовая температура — около 9,5 °C. Сезонные средние: зима ? –2 °C, весна ? 10 °C, лето ? 20 °C, осень ? 10 °C. Безморозный период — около 165–185 дней. Годовое количество осадков ? 520 мм, максимум летом. Средняя влажность — 70–75 %. Участились периоды засух и экстремальной жары. Возможны ливневые дожди. Почвы — суглинистые, умеренно дренированные. Высота над уровнем моря — около 190 м. Климат — умеренно континентальный. Рядом протекает река Влтава; возможны локальные подтопления при паводках.";Город Прага (Департамент охраны окружающей среды);https://www.adapterraawards.cz/en/databaze/2020/pluziny-setrne-zemedelstvi-v-praze;;;;;;;;;;;;;;;;;;
ливневые наводнения, засуха и нехватка зелёных зон;Карманный парк IDEA в Гданьске: создание первого в районе общественного парка с дождевыми садами и инфильтрацией для удержания 54 м? воды, повышения биоразнообразия и снижения рисков засухи и наводнений;Снижение стока дождевой воды в канализацию, косвенное снижение энергопотребления на охлаждение;Удержание 54 м? дождевой воды, снижение риска наводнений и засух, создание биоразнообразной городской экосистемы, смягчение теплового острова;Гданьск (Поморское воеводство, Польша);"Среднегодовая температура — около 8,5 °C. Сезонные средние: зима ? –1 °C, весна ? 9 °C, лето ? 18 °C, осень ? 10 °C. Безморозный период — около 170–190 дней. Годовое количество осадков ? 600 мм, максимум летом и осенью. Средняя влажность — 75–80 %. Возможны как засухи, так и интенсивные ливни. Экстремальные явления: штормовые ветры, ливни. Почвы — песчано-суглинистые, хорошо дренированные. Высота над уровнем моря — около 10 м. Климат — умеренный морской с континентальными чертами. Рядом — Балтийское море; риск затопления низкий.";Частный застройщик IDEA Estate;https://www.adapterraawards.cz/en/databaze/2020/expression-passage-on-the-idea-multi-family-estate;;;;;;;;;;;;;;;;;;
наводнения и засуха на реке Поточнице;Природные противопаводковые меры в Писечне-у-Жамберка: строительство боковых русел, прудов-отстойников и приподнятых бродов для защиты домов от наводнений и удержания воды в засушливые периоды;Связывание CO2 за счёт восстановления речной растительности;Комплексная адаптация к засухе и наводнениям, удержание воды в пойме, защита 12 домов, улучшение рекреационной ценности;Писечна-у-Жамберка (Пардубицкий край, Чехия);"Среднегодовая температура — около 8,0 °C. Сезонные средние: зима ? –4 °C, весна ? 8 °C, лето ? 18 °C, осень ? 8 °C. Безморозный период — около 150–170 дней. Годовое количество осадков ? 600 мм, равномерно распределено. Средняя влажность — 75–80 %. Возможны как засухи, так и интенсивные дожди. Экстремальные явления: ливни, волны холода. Почвы — суглинистые, с хорошим удержанием влаги в пойме. Высота над уровнем моря — около 300 м. Климат — умеренный континентальный. Рядом — река Поточнице; умеренный риск паводков.";Муниципалитет Писечны, при поддержке ОП «Окружающая среда»;https://www.adapterraawards.cz/en/databaze/2021/prirode-blizka-protipovodnova-opatreni-v-pisecne;;;;;;;;;;;;;;;;;;
гибель деревьев из-за неблагоприятных городских условий;Посадка деревьев в структурный субстрат в Йиглаве: внедрение технологии совмещения инженерных сетей и корневого пространства для устойчивого роста деревьев, задержки дождевой воды и улучшения городского микроклимата;Снижение нагрузки на канализацию, косвенное снижение выбросов за счёт улучшения городской зелени;Повышение устойчивости деревьев к засухе и перегреву, создание тенистых зон, улучшение микроклимата, снижение риска локальных подтоплений;Йиглава (Край Высочина, Чехия);"Среднегодовая температура — около 7,5 °C. Сезонные средние: зима ? –4 °C, весна ? 8 °C, лето ? 17 °C, осень ? 8 °C. Безморозный период — около 145–165 дней. Годовое количество осадков ? 650 мм, максимум летом. Средняя влажность — 80–85 %. Возможны засухи и продолжительные дожди. Экстремальные явления: сильные ветры, ливни. Почвы — глинистые, часто маловодопроницаемые. Высота над уровнем моря — около 520 м. Климат — умеренный континентальный с прохладным летом. Рядом — река Йиглавка; умеренный риск подтопления.";Город Йиглава;https://www.adapterraawards.cz/en/databaze/2022/vysadby-do-strukturalniho-substratu-jihlava;;;;;;;;;;;;;;;;;;
перегрев верхних этажей, шум и нагрузка на канализацию;Зелёная крыша на панельном доме в Брно: устройство лёгкой экстенсивной крыши из переработанного полиэстера и очитков для снижения перегрева, шума и нагрузки на канализацию при ограниченной несущей способности;Снижение энергопотребления за счёт улучшения теплоизоляции, продление срока службы кровли;Охлаждение здания летом, удержание до 30 л дождевой воды/м?, снижение шума, поддержка биоразнообразия;Брно (Южноморавский край, Чехия);"Среднегодовая температура — около 9,7 °C. Сезонные средние: зима ? –1 °C, весна ? 10 °C, лето ? 20 °C, осень ? 11 °C. Безморозный период — около 160–180 дней. Годовое количество осадков ? 500–550 мм, максимум летом. Средняя влажность — 70–75 %. Засухи случаются чаще в последние годы. Возможны кратковременные ливни и волны жары. Почвы — суглинистые, умеренно дренированные. Высота над уровнем моря — около 246 м. Климат — умеренно континентальный. Рядом протекает река Свратка и находится Брненское водохранилище; возможны локальные ливневые подтопления.";Общество собственников квартир, при поддержке муниципалитета Брно;https://www.adapterraawards.cz/en/databaze/2022/zelena-strecha-na-panelovem-dome-brno;;;;;;;;;;;;;;;;;;
перегрев транспортного узла и утрата старых деревьев;Реконструкция автовокзала в Мистельбахе (Австрия): сохранение липовой аллеи, создание зелёных остановок с очитками и водопроницаемой брусчаткой для охлаждения территории и поддержки биоразнообразия в транспортном узле;Снижение выбросов за счёт повышения привлекательности общественного транспорта;Затенение и охлаждение в жару, удержание дождевой воды, поддержка биоразнообразия (пчёлы, бабочки), создание комфортного общественного пространства;Мистельбах (Нижняя Австрия, Австрия);"Среднегодовая температура — около 10,5 °C. Сезонные средние: зима ? 0 °C, весна ? 11 °C, лето ? 22 °C, осень ? 12 °C. Безморозный период — около 180–200 дней. Годовое количество осадков ? 600 мм, максимум летом и осенью. Средняя влажность — 70–75 %. Участились засухи и экстремальные осадки. Экстремальные явления: волны жары, ливни. Почвы — плодородные суглинки. Высота над уровнем моря — около 220 м. Климат — умеренный континентальный с переходными чертами. Рядом — река Пайс; риск затопления низкий.";Город Мистельбах, при поддержке федерального и регионального бюджетов;https://www.adapterraawards.cz/en/databaze/2022/mistelbach;;;;;;;;;;;;;;;;;;
деградация водотока и нарушение миграции водных организмов;Ренатурализация реки Траттнах (Австрия): восстановление меандров, строительство рыбоходов и поперечных плотин для улучшения экологического состояния, защиты от наводнений и создания тенистых зон отдыха;Улучшение углеродного поглощения речной экосистемой;Защита от наводнений, восстановление миграционных коридоров для рыб, создание тенистых зон отдыха, повышение биоразнообразия;Траттнах (Верхняя Австрия, Австрия);"Среднегодовая температура — около 9,0 °C. Сезонные средние: зима ? –2 °C, весна ? 9 °C, лето ? 19 °C, осень ? 10 °C. Безморозный период — около 160–175 дней. Годовое количество осадков ? 700 мм, равномерно распределено. Средняя влажность — 75–80 %. Возможны как засухи, так и продолжительные дожди. Экстремальные явления: ливни, сильные ветры. Почвы — аллювиальные, хорошо дренированные в русле. Высота над уровнем моря — около 310 м. Климат — умеренный, переходный к континентальному. Река Траттнах впадает в Дунай; умеренный риск затопления в пойме.";Управление водных ресурсов Верхней Австрии, при поддержке ЕС;https://www.adapterraawards.cz/en/databaze/2022/renaturierung_trattnach;;;;;;;;;;;;;;;;;;
риск наводнений и деградация водной экосистемы;Ревитализация мельничного русла у парка «Остров» в Семили: расширение русла, создание 7 боковых прудов и берм для повышения защиты от наводнений, улучшения микроклимата и обеспечения безопасного доступа к воде;Связывание CO2 за счёт восстановления прибрежной растительности;Повышение защиты от наводнений, удержание воды в городской среде, создание безопасного доступа к воде, улучшение микроклимата, поддержка биоразнообразия;Семили (Либерецкий край, Чехия);"Среднегодовая температура — около 7,5 °C. Сезонные средние: зима ? –4 °C, весна ? 8 °C, лето ? 17 °C, осень ? 8 °C. Безморозный период — около 145–165 дней. Годовое количество осадков ? 650 мм, максимум летом. Средняя влажность — 80–85 %. Возможны засухи и продолжительные дожди. Экстремальные явления: сильные ветры, ливни. Почвы — глинистые, часто маловодопроницаемые. Высота над уровнем моря — около 380 м. Климат — умеренный континентальный с прохладным летом. Рядом — река Йизера; умеренный риск подтопления.";Город Семили, при поддержке ОП «Окружающая среда»;https://www.adapterraawards.cz/en/databaze/2021/revitalizace-mestskeho-nahonu-u-parku-ostrov;;;;;;;;;;;;;;;;;;
ливневые паводки, аномальная жара и ветровые нагрузки;Реконструкция начальной школы Ред-Хилл в Лондоне: строительство низкоуглеродного здания с SUDS, сбором дождевой воды, затенением и цинковой кровлёй для адаптации к ливням, жаре, засухе и штормам;Снижение углеродного следа за счёт низкоуглеродного строительства и энергоэффективности;"Адаптация к проливным дождям, жаре, сухости и сильным ветрам; обеспечение комфортной учебной среды в условиях климатических рисков";Ред-Хилл, Суррей (Великобритания);"Среднегодовая температура — около 10,5 °C. Сезонные средние: зима ? 4 °C, весна ? 10 °C, лето ? 19 °C, осень ? 12 °C. Безморозный период — около 270–300 дней. Годовое количество осадков ? 700 мм, равномерно распределено. Средняя влажность — 80–85 %. Возможны как засухи, так и интенсивные ливни. Экстремальные явления: штормовые ветры, волны жары. Почвы — глинистые, с высокой водоудерживающей способностью. Высота над уровнем моря — около 60 м. Климат — умеренный морской. Рядом — река Темза и её притоки; умеренный риск затопления.";Городской совет Ред-Хилл, при поддержке UKCIP;https://www.adapterraawards.cz/en/databaze/2020/red-hill-primary-school-building-redevelopment;;;;;;;;;;;;;;;;;;
городской остров тепла, высокое энергопотребление и нехватка зелени;Реконструкция комплекса «Сватопетрска» в Брно-Комарове: преобразование закрытого промышленного объекта в пассивный общественный кластер с зелёной крышей, солнечной электростанцией и инфильтрационными покрытиями для снижения углеродного следа;Нейтральный углеродный баланс, снижение энергопотребления и водопотребления на 50%;Устойчивость к засухе и жаре, снижение эффекта городского теплового острова, удержание дождевой воды, создание общественного пространства;Брно-Комаров (Южноморавский край, Чехия);"Среднегодовая температура — около 9,7 °C. Сезонные средние: зима ? –1 °C, весна ? 10 °C, лето ? 20 °C, осень ? 11 °C. Безморозный период — около 160–180 дней. Годовое количество осадков ? 500–550 мм, максимум летом. Средняя влажность — 70–75 %. Засухи случаются чаще в последние годы. Возможны кратковременные ливни и волны жары. Почвы — суглинистые, умеренно дренированные. Высота над уровнем моря — около 246 м. Климат — умеренно континентальный. Рядом протекает река Стара Понавка; возможны локальные ливневые подтопления.";Инвесторы Top-In и фонд «Вероника», при поддержке ЕС (OPPIK);https://www.adapterraawards.cz/en/databaze/2020/rekonstrukce-otevreni-arealu-svatopetrska;;;;;;;;;;;;;;;;;;
наводнения, низкое биоразнообразие;Устойчивая дренажная система и регенерация района Аугустенборг в Мальмё (Швеция): создание 6 км открытых каналов и 10 прудов для управления 90% дождевой воды, предотвращения наводнений и формирования новых общественных пространств;Снижение нагрузки на канализацию, косвенное снижение выбросов за счёт улучшения городской зелени;Защита от наводнений, создание зелёных общественных зон, повышение биоразнообразия, улучшение качества жизни;Мальмё (Сконе, Швеция);"Среднегодовая температура — около 8,5 °C. Сезонные средние: зима ? 0 °C, весна ? 7 °C, лето ? 17 °C, осень ? 9 °C. Безморозный период — около 200–220 дней. Годовое количество осадков ? 600 мм, равномерно распределено. Средняя влажность — 80–85 %. Возможны как засухи, так и интенсивные ливни. Экстремальные явления: штормовые ветры, ливни. Почвы — песчано-суглинистые, хорошо дренированные. Высота над уровнем моря — около 5 м. Климат — умеренный морской. Рядом — пролив Эресунн; риск затопления низкий.";Жилищная компания Мальмё, Служба водоснабжения Мальмё, городские планировщики;https://www.adapterraawards.cz/en/databaze/2020/storm-water-management-and-urban-regeneration;;;;;;;;;;;;;;;;;;
засуха, эрозия почвы и неэффективное управление сельхозугодьями;Экологическое сельское хозяйство в Праге 12: переход на зелёное управление муниципальными землями с пермакультурными садами, коридорами дикой природы и восстановлением водно-болотных угодий для адаптации к засухе и ливням;Снижение эрозии, повышение углеродного поглощения почвой и растительностью;Адаптация к засухе и ливням, восстановление водоудерживающей способности ландшафта, поддержка биоразнообразия, развитие общественной жизни;Прага 12 – Холупице/Точна (Чехия);"Среднегодовая температура — около 9,5 °C. Сезонные средние: зима ? –2 °C, весна ? 10 °C, лето ? 20 °C, осень ? 10 °C. Безморозный период — около 165–185 дней. Годовое количество осадков ? 520 мм, максимум летом. Средняя влажность — 70–75 %. Участились периоды засух и экстремальной жары. Возможны ливневые дожди. Почвы — суглинистые, умеренно дренированные. Высота над уровнем моря — около 190 м. Климат — умеренно континентальный. Рядом протекает река Влтава; возможны локальные подтопления при паводках.";Администрация района Прага 12, при поддержке ОП «Окружающая среда», НИИ, волонтёров;https://www.adapterraawards.cz/en/databaze/2021/setrne-zemedelstvi-v-praze-12;;;;;;;;;;;;;;;;;;
высокое энергопотребление и утрата исторического облика здания;Штаб-квартира Фонда польской науки в Варшаве: реставрация исторического здания с вертикальным садом, сбором дождевой воды и естественным освещением для снижения энергопотребления и интеграции в городскую среду;Снижение энергопотребления за счёт естественного освещения и улучшенной теплоизоляции;Улучшение микроклимата, удержание дождевой воды, повышение биоразнообразия в городской среде, создание общественного пространства;Варшава – Вежбно (Мазовецкое воеводство, Польша);"Среднегодовая температура — около 9,0 °C. Сезонные средние: зима ? –3 °C, весна ? 9 °C, лето ? 19 °C, осень ? 10 °C. Безморозный период — около 180–200 дней. Годовое количество осадков ? 550 мм, максимум летом. Средняя влажность — 75–80 %. Возможны засухи и ливни. Экстремальные явления: волны жары, сильные ветры. Почвы — суглинистые, умеренно дренированные. Высота над уровнем моря — около 80 м. Климат — умеренный континентальный с морскими чертами. Рядом — река Висла; умеренный риск затопления.";Фонд польской науки (FNP), частный инвестор;https://www.adapterraawards.cz/en/databaze/2020/the-foundation-for-polish-science-headquarters;;;;;;;;;;;;;;;;;;
загрязнение дождевых стоков и риск наводнений;Устойчивая система управления дождевой водой в больнице Оденсе (Дания): создание сети бассейнов и водно-болотных угодий объёмом 40 000 м? для очистки, задержки стока и защиты природоохранных зон от загрязнения и паводков;Исключение сброса загрязнённой воды в канализацию, снижение нагрузки на инфраструктуру;Защита от наводнений, очистка дождевой воды, повышение биоразнообразия, создание рекреационных зон в городской среде;Оденсе (Южная Дания, Дания);"Среднегодовая температура — около 8,5 °C. Сезонные средние: зима ? 1 °C, весна ? 7 °C, лето ? 17 °C, осень ? 10 °C. Безморозный период — около 220–240 дней. Годовое количество осадков ? 650 мм, равномерно распределено. Средняя влажность — 80–85 %. Возможны как засухи, так и продолжительные дожди. Экстремальные явления: штормы, ливни. Почвы — песчано-глинистые, хорошо дренированные. Высота над уровнем моря — около 10 м. Климат — умеренный морской. Рядом — река Оденсе и природоохранные зоны Natura 2000; умеренный риск затопления.";Государственный фонд качества, Регион Южная Дания, Датское строительное управление;https://www.adapterraawards.cz/en/databaze/2020/sustainable-hospital-in-odense;;;;;;;;;;;;;;;;;;
засуха, эрозия почвы и затопление участка;Система малых прудов и живых изгородей у дома егеря в Центральной Богемии: строительство 15 прудов и прекращение мелиорации для решения проблемы засухи, затопления дома и восстановления биоразнообразия на частной территории;Связывание CO2 за счёт восстановления влажных лугов и растительности;Удержание до 250 м? дождевой воды, защита от засухи и эрозии, предотвращение затопления дома, повышение биоразнообразия;Добржеёвице (Центральночешский край, Чехия);"Среднегодовая температура — около 8,5 °C. Сезонные средние: зима ? –3 °C, весна ? 9 °C, лето ? 19 °C, осень ? 9 °C. Безморозный период — около 155–170 дней. Годовое количество осадков ? 550 мм, максимум летом. Средняя влажность — 70–75 %. Возможны засухи и кратковременные ливни. Экстремальные явления: волны жары, град. Почвы — суглинистые, умеренно дренированные. Высота над уровнем моря — около 350 м. Климат — умеренно континентальный. Рядом — мелкие ручьи; умеренный риск подтопления.";Любор Кржижек (частное лицо);https://www.adapterraawards.cz/en/databaze/2020/system-malych-tunek-a-mezi-k-zadrzovani-vody;;;;;;;;;;;;;;;;;;
высокое энергопотребление и зависимость от внешних ресурсов;Почти самодостаточный соломенный дом в Добржеёвице: строительство дома из натуральных материалов с зелёной крышей, сбором дождевой воды и глиняной штукатуркой для минимизации воздействия на окружающую среду и обеспечения энергонезависимости;Снижение выбросов CO2 за счёт отказа от ископаемого топлива и использования местных материалов;Устойчивость к засухе и жаре, удержание дождевой воды, снижение потребления питьевой воды и энергии, создание комфортного микроклимата;Добржеёвице (Центральночешский край, Чехия);"Среднегодовая температура — около 8,5 °C. Сезонные средние: зима ? –3 °C, весна ? 9 °C, лето ? 19 °C, осень ? 9 °C. Безморозный период — около 155–170 дней. Годовое количество осадков ? 550 мм, максимум летом. Средняя влажность — 70–75 %. Возможны засухи и кратковременные ливни. Экстремальные явления: волны жары, град. Почвы — суглинистые, умеренно дренированные. Высота над уровнем моря — около 350 м. Климат — умеренно континентальный. Рядом — мелкие ручьи; умеренный риск подтопления.";Частные владельцы (самострой);https://www.adapterraawards.cz/en/databaze/2020/temer-sobestacny-slameny-dum;;;;;;;;;;;;;;;;;;
риск наводнений и герметизация городских поверхностей;Устойчивая дренажная система SUDS в Кембриджшире (Великобритания): внедрение водопроницаемых покрытий, зелёных крыш и бочек для дождевой воды в жилом районе для снижения риска наводнений и повышения биоразнообразия;Снижение нагрузки на канализацию, косвенное снижение выбросов за счёт улучшения городской зелени;Защита от наводнений в условиях речных разливов и ливней, улучшение качества воды, повышение биоразнообразия;Кембриджшир (Англия, Великобритания);"Среднегодовая температура — около 10,5 °C. Сезонные средние: зима ? 4 °C, весна ? 10 °C, лето ? 19 °C, осень ? 12 °C. Безморозный период — около 270–300 дней. Годовое количество осадков ? 600 мм, равномерно распределено. Средняя влажность — 80–85 %. Возможны как засухи, так и интенсивные ливни. Экстремальные явления: штормовые ветры, наводнения. Почвы — глинистые, с высокой водоудерживающей способностью. Высота над уровнем моря — около 20 м. Климат — умеренный морской. Рядом — река Кем; умеренный риск затопления.";Cambridge Housing Society, Совет графства Кембриджшир, Cambridgeshire Wildlife Trust и др.;https://www.adapterraawards.cz/en/databaze/2020/sustainable-drainage-cambourne-cambridge;;;;;;;;;;;;;;;;;;
